query_type,queries,total_cost,avg_exec_ms,p95_exec_ms,scanned_mb,spilled_mb
ctas,253555,24010565520.5,12756.185632308572,30892.29999999999,7731988255.0,3382035349.0
insert,677730,23733896069.0,2423.5265385920648,4117.0,5167086776.0,3901571208.0
unload,19554,12125429585.0,38001.47601513757,135314.99999999974,4499963196.0,1826473425.0
update,237279,8111967040.5,2714.375604246478,6464.0,2050256543.0,1288554888.0
select,877734,7798501581.5,3410.6940462600287,9841.0,4624094327.0,498554458.0
copy,407664,5534086321.0,4997.590162486754,7995.699999999953,157256170.0,683624128.0
delete,841073,1982215199.5,438.3643096378079,686.0,1190892679.0,203614495.0
analyze,440551,1021995769.0,561.533849656453,980.0,1483743730.0,6547921.0
vacuum,21551,90193898.0,4049.047283188715,4285.0,5795590.0,7017.0
other,554387,78541057.0,124.71812650729545,337.0,16329308.0,246859.0
